pageid,ns,title,index,coordinates,imagerepository,imageinfo,coordinates.1.lat,coordinates.1.lon,coordinates.1.primary,coordinates.1.bearing,query_lat,query_lon,radius
99913873,6,File:STS135-E-6268 - View of Earth.jpg,-1,"[{'lat': 39.8, 'lon': 20.1, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/STS135-E-6268_-_View_of_Earth.jpg/320px-STS135-E-6268_-_View_of_Earth.jpg', 'thumbwidth': 320, 'thumbheight': 212, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/STS135-E-6268_-_View_of_Earth.jpg/479px-STS135-E-6268_-_View_of_Earth.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/STS135-E-6268_-_View_of_Earth.jpg/639px-STS135-E-6268_-_View_of_Earth.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/9/90/STS135-E-6268_-_View_of_Earth.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:STS135-E-6268_-_View_of_Earth.jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=99913873'}]",,,,,39.777723115449575,20.17333256963372,10000
101576659,6,File:ISS043-E-100677 - View of Earth.jpg,0,"[{'lat': 39.8, 'lon': 20.2, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/ISS043-E-100677_-_View_of_Earth.jpg/320px-ISS043-E-100677_-_View_of_Earth.jpg', 'thumbwidth': 320, 'thumbheight': 213, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/ISS043-E-100677_-_View_of_Earth.jpg/480px-ISS043-E-100677_-_View_of_Earth.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/ISS043-E-100677_-_View_of_Earth.jpg/640px-ISS043-E-100677_-_View_of_Earth.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/4/4a/ISS043-E-100677_-_View_of_Earth.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:ISS043-E-100677_-_View_of_Earth.jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=101576659'}]",,,,,39.777723115449575,20.17333256963372,10000
101576662,6,File:ISS043-E-100678 - View of Earth.jpg,1,"[{'lat': 39.8, 'lon': 20.2, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/ISS043-E-100678_-_View_of_Earth.jpg/320px-ISS043-E-100678_-_View_of_Earth.jpg', 'thumbwidth': 320, 'thumbheight': 213, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/ISS043-E-100678_-_View_of_Earth.jpg/480px-ISS043-E-100678_-_View_of_Earth.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/ISS043-E-100678_-_View_of_Earth.jpg/640px-ISS043-E-100678_-_View_of_Earth.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/2/2c/ISS043-E-100678_-_View_of_Earth.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:ISS043-E-100678_-_View_of_Earth.jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=101576662'}]",,,,,39.777723115449575,20.17333256963372,10000
102851106,6,File:ISS053-E-96256 - View of Earth.jpg,2,"[{'lat': 39.8, 'lon': 20.2, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/ISS053-E-96256_-_View_of_Earth.jpg/320px-ISS053-E-96256_-_View_of_Earth.jpg', 'thumbwidth': 320, 'thumbheight': 213, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/ISS053-E-96256_-_View_of_Earth.jpg/480px-ISS053-E-96256_-_View_of_Earth.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/ISS053-E-96256_-_View_of_Earth.jpg/640px-ISS053-E-96256_-_View_of_Earth.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/d/d7/ISS053-E-96256_-_View_of_Earth.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:ISS053-E-96256_-_View_of_Earth.jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=102851106'}]",,,,,39.777723115449575,20.17333256963372,10000
102851107,6,File:ISS053-E-96257 - View of Earth.jpg,3,"[{'lat': 39.8, 'lon': 20.2, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/ISS053-E-96257_-_View_of_Earth.jpg/320px-ISS053-E-96257_-_View_of_Earth.jpg', 'thumbwidth': 320, 'thumbheight': 213, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/ISS053-E-96257_-_View_of_Earth.jpg/480px-ISS053-E-96257_-_View_of_Earth.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/ISS053-E-96257_-_View_of_Earth.jpg/640px-ISS053-E-96257_-_View_of_Earth.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/d/db/ISS053-E-96257_-_View_of_Earth.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:ISS053-E-96257_-_View_of_Earth.jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=102851107'}]",,,,,39.777723115449575,20.17333256963372,10000
103340028,6,File:ISS053-E-390330 - View of Earth.jpg,4,"[{'lat': 39.8, 'lon': 20.2, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/ISS053-E-390330_-_View_of_Earth.jpg/320px-ISS053-E-390330_-_View_of_Earth.jpg', 'thumbwidth': 320, 'thumbheight': 213, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/ISS053-E-390330_-_View_of_Earth.jpg/480px-ISS053-E-390330_-_View_of_Earth.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/ISS053-E-390330_-_View_of_Earth.jpg/639px-ISS053-E-390330_-_View_of_Earth.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/f/fb/ISS053-E-390330_-_View_of_Earth.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:ISS053-E-390330_-_View_of_Earth.jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=103340028'}]",,,,,39.777723115449575,20.17333256963372,10000
103340037,6,File:ISS053-E-390331 - View of Earth.jpg,5,"[{'lat': 39.8, 'lon': 20.2, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/ISS053-E-390331_-_View_of_Earth.jpg/320px-ISS053-E-390331_-_View_of_Earth.jpg', 'thumbwidth': 320, 'thumbheight': 213, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/ISS053-E-390331_-_View_of_Earth.jpg/480px-ISS053-E-390331_-_View_of_Earth.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/ISS053-E-390331_-_View_of_Earth.jpg/639px-ISS053-E-390331_-_View_of_Earth.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/3/3a/ISS053-E-390331_-_View_of_Earth.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:ISS053-E-390331_-_View_of_Earth.jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=103340037'}]",,,,,39.777723115449575,20.17333256963372,10000
104229908,6,File:ISS060-E-34593 - View of Earth.jpg,6,"[{'lat': 39.7, 'lon': 20.2, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/ISS060-E-34593_-_View_of_Earth.jpg/320px-ISS060-E-34593_-_View_of_Earth.jpg', 'thumbwidth': 320, 'thumbheight': 213, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/ISS060-E-34593_-_View_of_Earth.jpg/480px-ISS060-E-34593_-_View_of_Earth.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/ISS060-E-34593_-_View_of_Earth.jpg/639px-ISS060-E-34593_-_View_of_Earth.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/1/1d/ISS060-E-34593_-_View_of_Earth.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:ISS060-E-34593_-_View_of_Earth.jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=104229908'}]",,,,,39.777723115449575,20.17333256963372,10000
104229947,6,File:ISS060-E-34592 - View of Earth.jpg,7,"[{'lat': 39.7, 'lon': 20.2, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/ISS060-E-34592_-_View_of_Earth.jpg/320px-ISS060-E-34592_-_View_of_Earth.jpg', 'thumbwidth': 320, 'thumbheight': 213, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/ISS060-E-34592_-_View_of_Earth.jpg/480px-ISS060-E-34592_-_View_of_Earth.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/ISS060-E-34592_-_View_of_Earth.jpg/639px-ISS060-E-34592_-_View_of_Earth.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/7/79/ISS060-E-34592_-_View_of_Earth.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:ISS060-E-34592_-_View_of_Earth.jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=104229947'}]",,,,,39.777723115449575,20.17333256963372,10000
111027743,6,File:ISS015-E-15111 - View of Earth.jpg,8,"[{'lat': 39.8, 'lon': 20.2, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/ISS015-E-15111_-_View_of_Earth.jpg/320px-ISS015-E-15111_-_View_of_Earth.jpg', 'thumbwidth': 320, 'thumbheight': 212, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/ISS015-E-15111_-_View_of_Earth.jpg/480px-ISS015-E-15111_-_View_of_Earth.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/ISS015-E-15111_-_View_of_Earth.jpg/640px-ISS015-E-15111_-_View_of_Earth.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/0/0c/ISS015-E-15111_-_View_of_Earth.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:ISS015-E-15111_-_View_of_Earth.jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=111027743'}]",,,,,39.777723115449575,20.17333256963372,10000
