pageid,ns,title,index,coordinates,imagerepository,imageinfo,coordinates.1.lat,coordinates.1.lon,coordinates.1.primary,coordinates.1.bearing,query_lat,query_lon,radius
39990628,6,File:Γιτανα Κάτοψη.jpg,-1,"[{'lat': 39.57, 'lon': 20.263, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/%CE%93%CE%B9%CF%84%CE%B1%CE%BD%CE%B1_%CE%9A%CE%AC%CF%84%CE%BF%CF%88%CE%B7.jpg/320px-%CE%93%CE%B9%CF%84%CE%B1%CE%BD%CE%B1_%CE%9A%CE%AC%CF%84%CE%BF%CF%88%CE%B7.jpg', 'thumbwidth': 320, 'thumbheight': 205, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/%CE%93%CE%B9%CF%84%CE%B1%CE%BD%CE%B1_%CE%9A%CE%AC%CF%84%CE%BF%CF%88%CE%B7.jpg/480px-%CE%93%CE%B9%CF%84%CE%B1%CE%BD%CE%B1_%CE%9A%CE%AC%CF%84%CE%BF%CF%88%CE%B7.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/%CE%93%CE%B9%CF%84%CE%B1%CE%BD%CE%B1_%CE%9A%CE%AC%CF%84%CE%BF%CF%88%CE%B7.jpg/639px-%CE%93%CE%B9%CF%84%CE%B1%CE%BD%CE%B1_%CE%9A%CE%AC%CF%84%CE%BF%CF%88%CE%B7.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/0/0c/%CE%93%CE%B9%CF%84%CE%B1%CE%BD%CE%B1_%CE%9A%CE%AC%CF%84%CE%BF%CF%88%CE%B7.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:%CE%93%CE%B9%CF%84%CE%B1%CE%BD%CE%B1_%CE%9A%CE%AC%CF%84%CE%BF%CF%88%CE%B7.jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=39990628'}]",,,,,39.64407264763161,20.272670314810025,10000
39990629,6,File:Γίτανα φ1.JPG,0,"[{'lat': 39.57, 'lon': 20.263, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/%CE%93%CE%AF%CF%84%CE%B1%CE%BD%CE%B1_%CF%861.JPG/320px-%CE%93%CE%AF%CF%84%CE%B1%CE%BD%CE%B1_%CF%861.JPG', 'thumbwidth': 320, 'thumbheight': 180, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/%CE%93%CE%AF%CF%84%CE%B1%CE%BD%CE%B1_%CF%861.JPG/480px-%CE%93%CE%AF%CF%84%CE%B1%CE%BD%CE%B1_%CF%861.JPG', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/%CE%93%CE%AF%CF%84%CE%B1%CE%BD%CE%B1_%CF%861.JPG/640px-%CE%93%CE%AF%CF%84%CE%B1%CE%BD%CE%B1_%CF%861.JPG'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/8/81/%CE%93%CE%AF%CF%84%CE%B1%CE%BD%CE%B1_%CF%861.JPG', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:%CE%93%CE%AF%CF%84%CE%B1%CE%BD%CE%B1_%CF%861.JPG', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=39990629'}]",,,,,39.64407264763161,20.272670314810025,10000
55251545,6,"File:Filiates, Greece - panoramio.jpg",1,"[{'lat': 39.57997605, 'lon': 20.25340319, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Filiates%2C_Greece_-_panoramio.jpg/320px-Filiates%2C_Greece_-_panoramio.jpg', 'thumbwidth': 320, 'thumbheight': 148, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Filiates%2C_Greece_-_panoramio.jpg/480px-Filiates%2C_Greece_-_panoramio.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Filiates%2C_Greece_-_panoramio.jpg/640px-Filiates%2C_Greece_-_panoramio.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/6/6a/Filiates%2C_Greece_-_panoramio.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:Filiates,_Greece_-_panoramio.jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=55251545'}]",,,,,39.64407264763161,20.272670314810025,10000
55252237,6,"File:Sagiada, Greece - panoramio.jpg",2,"[{'lat': 39.62617044, 'lon': 20.18039614, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Sagiada%2C_Greece_-_panoramio.jpg/320px-Sagiada%2C_Greece_-_panoramio.jpg', 'thumbwidth': 320, 'thumbheight': 240, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Sagiada%2C_Greece_-_panoramio.jpg/480px-Sagiada%2C_Greece_-_panoramio.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Sagiada%2C_Greece_-_panoramio.jpg/640px-Sagiada%2C_Greece_-_panoramio.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/2/2d/Sagiada%2C_Greece_-_panoramio.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:Sagiada,_Greece_-_panoramio.jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=55252237'}]",,,,,39.64407264763161,20.272670314810025,10000
55252245,6,"File:Sagiada, Greece - panoramio (1).jpg",3,"[{'lat': 39.62526144, 'lon': 20.18114179, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Sagiada%2C_Greece_-_panoramio_%281%29.jpg/320px-Sagiada%2C_Greece_-_panoramio_%281%29.jpg', 'thumbwidth': 320, 'thumbheight': 240, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Sagiada%2C_Greece_-_panoramio_%281%29.jpg/480px-Sagiada%2C_Greece_-_panoramio_%281%29.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Sagiada%2C_Greece_-_panoramio_%281%29.jpg/640px-Sagiada%2C_Greece_-_panoramio_%281%29.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/8/8f/Sagiada%2C_Greece_-_panoramio_%281%29.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:Sagiada,_Greece_-_panoramio_(1).jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=55252245'}]",,,,,39.64407264763161,20.272670314810025,10000
55252254,6,"File:Sagiada, Greece - panoramio (2).jpg",4,"[{'lat': 39.62837472, 'lon': 20.17736793, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Sagiada%2C_Greece_-_panoramio_%282%29.jpg/320px-Sagiada%2C_Greece_-_panoramio_%282%29.jpg', 'thumbwidth': 320, 'thumbheight': 180, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Sagiada%2C_Greece_-_panoramio_%282%29.jpg/480px-Sagiada%2C_Greece_-_panoramio_%282%29.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Sagiada%2C_Greece_-_panoramio_%282%29.jpg/640px-Sagiada%2C_Greece_-_panoramio_%282%29.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/0/0d/Sagiada%2C_Greece_-_panoramio_%282%29.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:Sagiada,_Greece_-_panoramio_(2).jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=55252254'}]",,,,,39.64407264763161,20.272670314810025,10000
55252267,6,"File:Sagiada, Greece - panoramio (3).jpg",5,"[{'lat': 39.62526144, 'lon': 20.18114179, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Sagiada%2C_Greece_-_panoramio_%283%29.jpg/320px-Sagiada%2C_Greece_-_panoramio_%283%29.jpg', 'thumbwidth': 320, 'thumbheight': 240, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Sagiada%2C_Greece_-_panoramio_%283%29.jpg/480px-Sagiada%2C_Greece_-_panoramio_%283%29.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Sagiada%2C_Greece_-_panoramio_%283%29.jpg/640px-Sagiada%2C_Greece_-_panoramio_%283%29.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/4/47/Sagiada%2C_Greece_-_panoramio_%283%29.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:Sagiada,_Greece_-_panoramio_(3).jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=55252267'}]",,,,,39.64407264763161,20.272670314810025,10000
55252468,6,File:View from Vrisella - panoramio.jpg,6,"[{'lat': 39.57366667, 'lon': 20.319, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/View_from_Vrisella_-_panoramio.jpg/320px-View_from_Vrisella_-_panoramio.jpg', 'thumbwidth': 320, 'thumbheight': 239, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/View_from_Vrisella_-_panoramio.jpg/480px-View_from_Vrisella_-_panoramio.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/View_from_Vrisella_-_panoramio.jpg/639px-View_from_Vrisella_-_panoramio.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/7/71/View_from_Vrisella_-_panoramio.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:View_from_Vrisella_-_panoramio.jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=55252468'}]",,,,,39.64407264763161,20.272670314810025,10000
64511425,6,File:Dead End (29691957220).jpg,7,"[{'lat': 39.634514, 'lon': 20.1721, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Dead_End_%2829691957220%29.jpg/320px-Dead_End_%2829691957220%29.jpg', 'thumbwidth': 320, 'thumbheight': 204, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Dead_End_%2829691957220%29.jpg/480px-Dead_End_%2829691957220%29.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Dead_End_%2829691957220%29.jpg/640px-Dead_End_%2829691957220%29.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/7/74/Dead_End_%2829691957220%29.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:Dead_End_(29691957220).jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=64511425'}]",,,,,39.64407264763161,20.272670314810025,10000
73141799,6,File:Giromeriou monastery 1.jpg,8,"[{'lat': 39.654791, 'lon': 20.325125, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Giromeriou_monastery_1.jpg/320px-Giromeriou_monastery_1.jpg', 'thumbwidth': 320, 'thumbheight': 240, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Giromeriou_monastery_1.jpg/480px-Giromeriou_monastery_1.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Giromeriou_monastery_1.jpg/640px-Giromeriou_monastery_1.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/7/74/Giromeriou_monastery_1.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:Giromeriou_monastery_1.jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=73141799'}]",,,,,39.64407264763161,20.272670314810025,10000
